n,,q,,p,te,P
600,,5.541910457,,0.558241143,27.17529671,407.1495552
600,,7.127789657,,0.568263143,27.51452143,430.1969335
600,,8.7851922,,0.729227333,22.826165,454.6872823
600,,10.41570617,,0.591952286,25.28949771,485.332836
600,,12.03223834,,0.593774714,24.50891543,517.760437
600,,13.7127647,,0.369943333,23.95387533,553.6890257
600,,15.3577985,,0.626119333,24.35389333,595.7832413
600,,16.76567628,,0.4724136,24.5607112,643.775696
600,,2.179782171,,1.573226143,23.56783986,375.0552294
600,,3.949578171,,1.850206,27.02939343,427.5754702
600,,5.5158289,,1.7486165,25.37521567,488.4846496
600,,7.040671286,,1.375513429,24.42866886,550.8862154
600,,8.703989143,,1.904873,24.97580571,617.9433597
600,,10.4528122,,2.032429667,25.55394717,690.88974
600,,12.01771843,,1.590537571,24.443259,766.7353515
600,,13.59714446,,1.954984571,24.15145257,855.3271634
600,,15.23464937,,2.042451857,25.43175329,949.9767456
600,,16.94313994,,1.714449714,26.121146,1044.797424
600,,2.276580429,,2.975436571,25.66519843,410.428116
600,,3.818900314,,2.951747286,23.64079129,504.4706879
600,,5.446725429,,3.127593286,25.96794757,605.4630279
600,,7.084230514,,3.374506143,26.56615071,711.3691754
600,,8.620097229,,2.950836429,27.58382586,826.7131268
600,,10.2866418,,3.259705286,25.25302171,949.930237
600,,11.94350649,,3.356283857,25.80380657,1076.052917
600,,13.52293234,,3.646930429,25.48646686,1222.019531
600,,15.20077003,,3.349905857,26.17585957,1385.000183
600,,16.90603389,,3.330772714,23.99825429,1554.841004
600,,2.328206143,,4.146222857,25.57765643,459.888306
600,,3.847939886,,3.786331714,23.68456243,591.3274235
600,,5.399939743,,4.250090571,24.58916243,741.453857
600,,7.034218114,,4.848695,27.52911171,890.3918369
600,,8.663656543,,4.234601429,25.085233,1058.399277
600,,10.23178937,,4.014110857,23.87788414,1229.10734
600,,11.95802614,,4.497003143,23.46570771,1413.150025
600,,13.63425051,,4.435047429,24.97215814,1619.187866
600,,2.300779971,,5.464610429,24.77883643,505.0912935
600,,3.739848514,,5.726101286,24.70223729,679.78064
600,,5.449952143,,5.831791,26.22692571,876.1987032
600,,6.9825924,,5.686012143,25.15453714,1079.734436
600,,8.591057829,,5.993058857,25.03051957,1297.770438
600,,10.2253362,,5.210408571,27.38685629,1521.60593
600,,2.184621943,,7.141978429,25.65425557,561.850708
600,,3.672089657,,6.946087857,23.87788414,772.5270919
600,,5.298301543,,6.961577,25.876758,1021.979239
600,,6.884180657,,7.173867429,24.94662514,1278.078003
600,,2.287873629,,7.297779429,24.90285414,606.5243454
600,,3.770501229,,8.484054857,24.23899471,876.2385861
600,,5.287008257,,8.394765429,21.01453371,1173.352906
600,,2.402418171,,9.354172286,25.51564757,651.0904403
600,,3.796314171,,9.965532429,24.06026314,983.8788148
600,,5.443498971,,10.20151214,25.61048471,1327.942627
600,,3.820513714,,11.10442971,23.53865914,1092.178171
600,,3.931831714,,13.02506614,24.34842214,1209.589844
625,,5.563317917,,0.718597833,24.877321,414.965546
625,,7.112203229,,1.006663,25.23052833,438.317055
625,,8.735591696,,0.641152714,25.88405314,460.9410976
625,,10.34553598,,0.389684143,25.20925086,491.8079643
625,,12.002535,,0.73682,25.18371786,520.7341465
625,,13.60183604,,0.653756333,25.37096017,557.0179061
625,,15.26247635,,0.649504667,22.91553083,597.423729
